ketone urne|ketne urie|mchc blood
blood cd16|blood cd16|blood sr tbramycin
bicarbonate bld|bicaroate blood|estradiol blood
stool stool chloride,|chloride, stool stool|gamma glutamyltransferase blood
chemistry bood p|bod ph pulmonology|eosinophils luid cerebrospnal (cerebrospinal fluid)
gravity specific urine|urine gravity specific|myoglobin, urine urine
heinz body prep blood|bod heinz bodypre bld|flow o2 clin blood
wbc,csf cerebrospinal lud (sf)|fluid csf cerebrospinal wbc, (csf)|cd13 fluid body other
phosphate, body fluid bf other body fluid|phosphate, body fluid other body fluid|polys spinal fluid csf (csf)
absolute blood count cd4|absolute count cd4 blood|creatinine, pleural pleural
hemoglobin bld c|hemoglobin c blood|heumatoid factorlood
bld point in time bands|bands whole bld bld|quinidine blood
myelocytes fluid crebrspinal cerebrospinal fluid)|myelocytes cerebrospinal fluid (csf)|phosphae,urneurie
dehydrogenase, lactate ascites ascites|lactate dehydrogenase, ascites ascites l-lactate dehydrogenase|cd10 other body fluid
rbc uine|urine rbc|cysteine crystals urine
urine urine immunofixation,|immunofixaton, urine narrative urine|marrow bone cd13
hematocrit, volfr calculated blood|hematocrit, caculated blood|other cd16/56 body fluid
ph blood|bld pulmonary ph|bone cd33 marrow
urine urine chlride, qnt|chlord, uine urine ur|blood cd41
qnt mcv bo|bloo mcv elec|parathyroid hormone blood
wb large platelets blood|large platelets blood elect|absolue 8count blood
body mylase, flui otherbodyfuid|amylase, body fluid other body fluid|drugs of abuse methadone, urine urine
blod universallaborders c3|c3blo|bld carbamazepine
antigliadin ig atibody, blood|anti-gliadin abs antibody, iga blood|velocity dmentaionrae blod
blood cd56|cd56 blood|blo cd10
sodium, acites ascites|sodium, random ascites ascites|serum or plasma blood dehydrogenase (ld) lactate
blood c117|cd117 bloo|fagilityblood osmotic
theophylline blod|theplline blood|protein antigen s, blood
cd otherbd fluid|cd4 other fluid body|sodium, whole bld quantitative bld
immunofixaton, urine narrative urine|urine urine immunofixation,|marrow be d117
tbg caculated blod|calculated tbg blood serum or plasma|random bilirubin, total, ascites ascites
urine crystals cysteine|urine cysteinecrystals|thyroglobulin blood
wb, pleural hematology/cell counts pleral|plurl wbc, abs pleural|prot. electrophhrs eectrphoesis ure urine
appearance urine urine|urine urine ppearne|body pulmonology body fluid other pco2, fluid
cd13 flid body other|cd13 other body fluid|blood tobramycin
creatinine blood|creatinine bld|cd56 other body fluid
pttblood|blood ptt|amylase, ont syn fl flud joint fluid
teardrop cells blood|teardrop cels blood|blood cd138
hemogloblin electro a blod|heogoblin a blood|antibody a virus hpatiis bld
immunoglobulin pl a blood|immunoglobulin a bld plsm|bleeding time blood
cholesterol ratio blood (total/hdl)|cholesterol ratio (total/hdl) blood|eosinophils cerebrospinal fluid (csf)
basophils joint fluid|basophils joint fluid basophil|fluid other body cd13
blood measured osmo osmollty,|osmolality, measured blood|lymphs (csf) fluid cerebrospinal cerebrospinal fl
blood glucose|wb glucoseblood|whole blood screen benzodiazepine blood
cd11cbone marow|cd11c bone marrow|nucleated red cells bld
lbuin, bo fluidothebodyfluid|albumi, bdy fluid quantitative other bodyfluid|atypical lymphocytes cerebrospinal fluid (csf)
carcinoembyronic blood (cea) antigen|oncology anigen carcinoembyroni (cea)blod|cholesterol, hdl blood
bilirubin, fluid body fluid other body total,|bilirubin, total, body fluid body other qnt fluid|urn amphetamine screen, urine urine
serpl phenytoin bld|phenytoin blood|blo schistocytes
flui joit bands|bands fluid joint|hyalin cats uine
c3 blood|c3 blood ser|bloo mcv elec
fragmetd wb cells lood|fragmented cells blood|fluid other body basophis
percent lympcytes, bld lkcs|lymphocytes, percent blood|cd4/c8 atio oer bodyflid
blood cd16/56|cd16/5 blood|bld prolactin
alcium, bood total|calcium, total blood|tyroine crystls ri
bo cd11 marow|cd117 bone marrow|blood centromere
hematocrit blood|bld hmaocrit elect|protein urine
total urine time collection|total collection time urine|protein blood antigen c,
cd0 blood|cd10 blood|atypical lymphocytes (csf) fluid cerebrospinal
cytoplasmic anti-neutrophil antibody blood|anti-neutrophil cytoplasmic antibody blood|lasma ther body fluid
blood testosterone|blood testosterone random|factor blood x
fluid body sodium, other body fluid|other body fluid sodium, body fluid|blood serum potassium
chlesterol, body fluid other ody fluid|holestro, ody othe fuid body fluid|lactate dehydrogenase, ascites ascites
psa rostae specific antien bld|ntign specific prostate bld|spec hematocrit, cerebrospinal fluid cerebrospinal (cerebrospinal fluid) fluid
cholesterol ratio blood (total/hdl)|cholesterol ratio (total/hdl) blood|barbiturate screen blood
blood yphcyte|lymphocytes absolute bld|fluid other body cd10
fetal hemoglobin blood random|fetal hemoglobin blood|crystals amorphous urine
24 r calcim urn|24 hr calcium 24hr urine|immunoglobulin a bld plsm
bld serum or plasma teststerone|blood testosterone random|serp trnsferrin blood
blood quant ntprobnp|blood ntprobnp plasma|body cd3oher fli
body mylase, flui otherbodyfuid|amylas, bod bodies flid other boy fluid|ilirubin boy total, fluid ther body pt luid
carbaaepine bld|bld carbamazepine|cholesterol, body fluid other body fluid
cun granulocye bld|blood count granulocyte|whole potassium, blood k blood
platelet smear blood|pltelet smar bld ct|hepatitis b virus antibody core blood
renal epithelial urine cells|renal epithelial urine cells|rine hematorit
fluid other body cd16/56|cd16/56 body other fluid|blod rapmycin
pleura pleurl glucose, point in time|glucose, pleural pleural|phenytoin, percent free blood
nuc uclated red cellsblood|nucleated red cells blood|factor ix blood
hematocrit, other fluid other body fluid|hematocrit, other body other fluid fluid|stool chloride, stool
blood qnt count, automated reticulocyte|discocytes reticulocyte count, automated blood|plas quant cells pleural
protein, total urineurine|total urine urine protein,|factor blood inhibitor viii
sickle cells bld|sickle cells blood|blood cd55
ck-mb index blood|ck-mb index blood|blood cd5
blood lymphocytes|lymphocytes blood|spercytesblood pr
lctte dehydrogenase,ascites prt ascites|dehydrogenase, lactate ascites ascites|cd14 body other fluid
ascites plasma|cell pasma ascites|amylase blood
hepatitis hep b blood surface antigen b|hepatitis b surface antigen blood|uic acidcrystal urie
sodium, qnt stool stool|sodium, stool stool|proein c-reactve serplas blo
blood cd138|blood cd138|anti-gliadin blood iga antibody,
oxge blood|oxygen blood|urne urin glucose,
cd117 marro bon|marrow be d117|cd55 blood
marrow bone cd7|cd7 bone marrow|bone cd16/56 marrow
lasma ther body fluid|plasma number fraction other body fluid|ematocrit, calculated blood
ascites ascites sodium,|sodium, ascites ascites|ascites ascites bicarbonate,
blood chloride|blood chloride|thyroglbn thyroglobulin blood
poikilocytosis blood|bood poikilocyosis|atypical lymphocytes joint fluid
cyclosporin blood|cyclosporin blood|fibrinogen, functional blood
count platelet bld|count platelet blood|hematocrit, volfr calculated blood
urine yeast|yest uri|lkcs plas cels blood
ascites lymphocytes|lymphocytes ascites quant|bld cells young
cd41 other body fluid|cd41 othr luid body|prolactin plasma blo
cd23 other fluid body|body other cd23 flid|blood cd16/56
hematocrit, caculated blood|hematocrit, volfr calculated bld|mesothelial cell ascite
triglycerides, chemistry ascites ascites|triglycerides, ascites ascites|red blood cells blood
total protein, joint fluid joint fluid|toal protein, flud fluid join join|24 mrate hr cretinie urine
rbccasts urine|rbc casts urine|immunoglbulin a bld
blood cd138|blood cd138|cholesterol ratio (total/hdl) bld
hyaline casts urine|casts hyaline urine|leukocytes urine
choleserl, hdl choles blod|serp hdl cholesterol, bld|cd15 other fluid body
blood centromere serology|centromere blood|bone cd16/56 marrow
ldbody fuid fluid body other|ld, body fluid other body fluid|blood cd23
anti-mitochondrial antibody blood|atimitochondrilantibody blood ama|amphetamne amph urineurie screen,
cd33 oher boy fluid|body other cd33 fluid|bands other fluid body
prostate specific psa antigen blood|prostate specific quant antigen bld|lucose, urine urine
mnocytes fluid joint|monocytes joint fluid|urn urine urine ethanol,
urine crystals, other urine|urine crystals, urine other|carbamazepine blood
lood cd64|blood cd64|bld whole bld chloride, level
thyroxine (t4) blood|thyroxin blod t4)|oxygen blood
tol stol sodiu quan|sodium, stool stool|stoo occult blood,
cholesterol, hdl blood|hdl cholesterol, blood|anti-thyroglobulin antibodies blood
random shistocytesbloo|blo schistocytes|body osmolality, fluid other body fluid
random mch bld|mch blood|acetaminophen blood
blood sodium|odium bloo|urine urine immunofixation, interp
bon cd23 marow|marrow bone cd23|blood polychromasia
cholesterol, body fluid other body fluid|chlesterol, body fluid other ody fluid|pleural pleual chloride,
monos other body fluid|other monos body fluid|cholesterol, blood measured ldl,
nitrogen urea blood|blod nitrgen urea|teardrop cells blood
phosphate, urine urine|phosphate, level urine urine|protein/creatinine ratio urine
teardrop cells blood|teardrop blood cells blood|creatinine clearance urine
<albuin>cerebrospinafluid(cerebrospinal fluid) cerebrospinal fl|<albumin> cerebrospinal fluid (csf)|antibodies thyroid microsomes peroxidase thyroid blood
blood d16/56|blood cd16/56|phenytoin, free percent blood
rbc uine|rbc urine|ser cholesterl, ldl, calculated blood
eoiophl fluid ererospial csf)|point in time esinophil cerebrospial fluid (sf)|alveolar-arterial blood gradient
theophylline blood|theopylline bloo|chloride blood
urea nitrogen, bodyfluid other body fluid|quan fluid nitrogen, body urea other body fluid|anti-smooth muscle antibody blood
c-reactive blood protein|c-reactive qnt protein blod|lm anisocytosis blood
blood cd55|cd55 blood|plasma ther quant bdyflid
sodium, qnt stool stool|sodium, stool stool|ati-parita cell antbody blood
urbilinoen urine|urobilinogen urine random|c7 blood
phenytoin, free percent blood|henytoin, blood fee perent|24 hr urine creatinine
d5 ody othr fluid|cd5 other fluid body|pr urine fat bodies urine
urine sperm|urne spem|urine blood
reptilase blood time|reptilase time blood|fluid type other body fluid
amylase, body fluid other body fluid|amylas, bod bodies flid other boy fluid|s, protein functional blood
phosphae,urneurie|phosphate, level urine urine|d38 her bdy flid
screen, benzodiazepine urine urine|benzodiazepine screen, urine urine|wbc urine
urine fatty|fatty urine|toal protein, flud fluid join join
nbc cerebrospnal sf) fluid|(csf) cerebrospinal fluid nrbc|plasma folateblood
thyroxine (t4) blood mass concentration|thyroxine (t4) blood|cells mesothelial joint fluid
methemoglobin blood|blood methemoglobin mass fraction|toal protein, flud fluid join join
carboxyhemoglobin blood|carboxyhemoglobin blood|cd64 blood
immunoglobulin pl a blood|immunoglbulin a bld|blood phosphate
universallaborders protein, total blood|total protein, blood|urine sulfonamides
cd3 ther fluid boy|cd3 other fluid body|cd41 other body fluid
c-reactive blood protein|proein c-reactve serplas blo|fragmented cells blood
barbiturate screen, urine urine random|barbiturate screen, ure urie|atypcal lmphocytes bood
lm blood sherocts|spherocytes blood|urine fatty
wbc, jintfluid jintfui|wbc, rheum joint fluid fluid joint|blood cyclosporin
urine protein|protein urine|crystals phosphate calcium urine
ck-mb index serum bld|blood point in time index ck-mb|sodium, whole bld quantitative bld
sicke bloo micro cels|sickle cells blood|lood cd20
blood cd16/56|blood cd16/56|cd14other fluid b
cd4/c8 atio oer bodyflid|fluid ratio other body cd4/cd8|pleural wbc, pleural
polychrmasia lm bld|polychromasia blood|ca-125 blood
nephrology p urne|phurine|pleural mono
c hemoglobin blood|hemoglobin c blood|total calculated co2 blood
blood sodium|odium bloo|parathyroid hormone blood
sex shbg hormone globulin binding blood|sex binding hormone globulin blood|bite cells blood
spherocytes blood|spherocytes blood|other cd8 body fluid
cd56 blood|cd56 blood|blood c4
other blood cells|other cells blood|microcytes bood
iga transglutaminase ab, tissue blood|tissue transglutaminase ab, universallaborders iga bld|osmolality, point in time bld measured
d15 blood|blood cd15|cells fragmented blood
einzbody rep lood|heinz prep dy blood|urobilinogen urine
hla-drbood|la-dr bood|blood cetaminophe addiction
creatinine, boy fluidther body fluid|creatinine, fluid body other body cr fluid|cd22 blood
body osmolality, fluid other body fluid|osmolality, body fluid oth fld body fluid|cd45 blood
immunofiatin blood|bld serp mmunofixation|lymphocytes blood
monocytes ascites|monocytes ascites|fragmentedcells bld
cholesterol ratio (total/hdl) bld|cholesterol ratio (total/hdl) blood|proein c-reactve serplas blo
gravity specific urine|gravity specific urine|anti-smooth muscle antibody blood
nitrogen, urea ascites ascites|ascites nitrogen, uea point in time ascites|eosinophils urine
cortisol blood|blood cortisol|fattyurne
ntign specific prostate bld|psa rostae specific antien bld|antien factor vonwillebrand blod
drugs of abuse methadone, urine urine|methadne,urine urie drugs|eelial cells urine
fmc-7 other body fluid|fmc7 body the fluid|blood cd16
phosphate, level urine urine|phosphate, urine urine|plas quant cells pleural
urine volume urine|urine volume, total urine|hypersegmented neutrophils blood
s, protein functional blood|potein s, functional blood|tricyclic antidepressant screen blood
fibrin degradation products blood|fibrin products degradation blood|amylse, urin urie
blood cd10|cd0 blood|follicle simulatng homone blo quant
qnt other monos body fluid|monos other body fluid|idirectblood bilirubin, hepatology
blood cd64|lood cd64|theplline blood
lymphocytes absolute bld|lymphocytes blood|ellitocytes blood
red blood cels blod|cellsblood blood erythrocyte red|blood cd55
po2 blood|po2 bld|blood hormone luteinizing
monos pleural|monos leural|basophils ascites
blood carboxyhemoglobin|blood carbonyl hgb carboxyhemoglobin|testosterone, free blood
thrombin blood|blood thrombin|blood d16/56
rheumatoid factor blood|heumatoid factorlood|blood, occult stool
