anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
wbcs atypical lymphocytes ascites|wbc atypical lymphocytes ascites|normoblasts nrbc cerebrospinal fluid csf)
cholesterol, body fluid other body fluid|cholesterol, body body choles other fluid fluid|cortiol serum blod
blood b virus core antibody microbiology hepatitis|hepatitis b virus core antibody blood|c3 blood
prostate specific antigen blood|rstate specific antign bloo|bcarboate, stoo stol
microcytes ordinal blood|blood microcytes screen|peral percent monos
anti-mc bld serpl|blood anti-mc|cd5 blood
fluid type other body fluid|fluid fluid other body type|fld other ther fluid ematocrit body fluid
urine blood|blood urine|rbc asts urn
plasma blood cells|plasma blod cels|wbc plasma cels leural
free fat urine|fat free urine|cd10 other body fluid
promyelocytes other body fluid|promylocytes point in time other body fluid|chemistry blod tbg calculated
urne volume urine|urine volume urine|cd5 blood
cholestrlcrystals uine|cholesterol crystals urine|bet-2 blood glob microglobulin
marrow bone cd55|marrow bone cd55|qualitative urine, hcg, urine
po2, odyflidother oy fluid quantitative|fluid body po2, other body fluid|rbc urine
bilirubin, total, body fluid other body fluid|bilirubin, total, body fluid other fluid body|potassium, blood blood whole
eosinophils othrboy fluid|eosinophils other body fluid|ea ascites ascitis nitrogen, ascies
blood, occlt stool|bld, ocut ool|fluid other body cd16/56
fluid jint macrphage|macrophage fluid joint point in time|cd16 blood
estimed serpl gfr(mdrd equation) bld|equation) gfr mdrd estimated bld|cd64 bone marrow
urine creatinine, rine mass concentration|creatinine, urine urine renal|follicle stimulating hormone blood universallaborders
o2fow blod flow|o2 flow blood|urine stals cholesterol
bone cd14 marrow|bone cd14 marrow|oxygen saturation quantitative blood
anticardiolipin igg antibody blood|anticardiolipin antibody igg blood|bone hla-dr marrow
pep, csf csf fraction (csf)|pep, flid cerebrospinal cerebrospinal fluid (cerebrospinal fluid)|igm antibody anticardiolipin blood
asophilic stippling bld point in time|basohilic stippling bood|fluid other body cd16/56
ph urie|urine ph|specific gravity urine
quant crane inas,mb soenzymeblod|reatine serplas kinase, mb isoezme blod|methadone, ordinal urine urine
ascites ascites wbc,|asctes ascitic fluid ascies wbc,|lipae boyuid other body quantitative fluid
blood hypochromia|hypochromia blood point in time|spherocytes blood
uicacidbod|acid uric blood|cd45 fluid body other
luteinizing hormone blood|hormone luteinizing blood|urineurine magnsum,
urine creatinine, urine|creatinine, urine urine|mestelial ells pleural
cratinine, jont flui joint flui cr|creatinine, joint fluid joint fluid|chloride, pleural pleural
blood bodies pappenheimer|blood bodies pappenheimer|ngt o uine colection urine
blod hla-dr|blood hla-dr|potassium, whole blood blood
blood cd23|blood cd23|other cd3 body fluid
bld hormone parathyroid|hormone parathyroid blood|blood fa centromere
bod glutamyltransferase gmma|gam bloo glutamytnsferas|creatinine hr 24 urine
stain iron bone marrow stains|bone stain iron marrow|cholesterol, ldl, lipid measured blood
stool icaronate, stool|bicarbonate, stool sool|lipase, ascites ascites catalytic concentration
urine acid crystals uric|urine acid crystals uric|oxygen saturation lod
calcium crystals carbonate urine|urine carbonate crystals calcium|basophils ascites
thoracentesis fluid amylase, pleural pleural|mylase,pleural pleural|pleural count/volume rbc, pleural
urine ph|ph urie|cd4 bone marrow
macrophage cererospinalfuid (csf)|(csf) cerebrospinal fluid macrophage|urine urine creatinine,
ammonium biurate urine|amonum birate urne|cocaine, qualitative urine urine
blood oxygen|blood oxygen|rbc urine
rystals amorphous urine|amorphous crystals urine|anticardiolipin igg antibody blood
potassium, blood blood whole|potassium, blood blood whole|lactate dehydrogenase, csf csf (csf)
bilirubin, direct blood|direct protein.albumin bilirubin, blood|boy protein, toal bod fluid other bodyfluid
double stranded quant dna bld|double stranded dna blood|glucose blood
hepatitis a virus antibody blood|virus a hepatitis ntibody iaa blood|blood cd23
ph urie|ph urine|transitional eithelial cells urne
bicarbonate, urine urine|bicarboate, urnurine|o2 flow blood
spec envelope cells blood|enelop bld cells|c8 oer body fluid
fetal blood percent hemoglobin|bloo fetalhemoglobin|free calcium blood
cd4 marrow bone|d4 bone marrow|epithelial urine cells
cd13 marrow bone|cd13 marrow bone|amylase, joint fluid joint fluid
virus a hepatitis ntibody iaa blood|hepatitis abs a virus antibody bld|troponin i blood
glucose, glucoseur joint fluid joint fluid|glucose, joint fluid joint joint flu fluid|bld cyclosporin random
cd20other body fluid|other cd20 body fluid|cd14 other bodylud
t troponin bld|troponin t blood|free calcium blood
ascites basophils|scites basophis|blood cells, percent cd8
cd33 body other fluid|oter cd3 body flud|sickle cell point in time preparation blood
blood acid pl uric|uric acid blood|cd38 other body fluid
amorphous urine crystals|rystals amorphous urine|bf macrophage other body fluid
protein total bloo|protein, toal blood universallaborders|ovalocyte blood ovalocytes
metamylocyts other body fluid|leuk other metamyelocytes body fluid|blood neutrophils
ody other cd22 fluid|cd22 other body fluid|volume tidal blood
pencil cells lm blood|pecil cells blood blood|mch hb bloo
alveolar-arterial gradient blood|gradent alveola-arteril blood|blood carboxyhemoglobin
urine sperm|sperm urine|urea nitrogen, ascites ascites
level iron blood|quant iron bld|basophils (cf) flui erebrospinal
thyroid peroxidase antibodies blood|thyroid blood antibodies peroxidase|hepatitis avirus igantibod blod
porphobilinogen screen urine|screen porphobilinn urin|epithelial transitional cells urine
fluid joint ld, joint fluid|l-lactate ld, fluid fluid joint joint|pten s, funciona blood
d8 bone marrow|marrow bone cd8|cholesterol, hdl blood
specific urine gravity|specific graity urine|hypochromia blood
eosinophils blood|eosinophis bld|fuid boy calcium, other body fluid
glucose blood|serp glucose blood|iron binding capacity, total blood
urine hemosiderin ur|hemosiderin urine ur|f hemoglobin blood pt
cd4/d8 atio lood|cd4/cd8 ratio blood|macrophage cerebrospinal fluid (csf)
cd45 other body fluid|body other cd45 fluid|cd33 blood
glucoe, joint fluid gluc oint fuid|glucose, glucoseur joint fluid joint fluid|cd22 other fluid body
white blood cell plasma cells leurl|wbc plasma cels leural|urology prosate blod angen specfic
ammonia level blood|nh3 ammonia bld|bone cd14 marrow
cd33 body other fluid|cd33 body othe fld|flui polysjoint
bld eosinophil cnt|blod absolutes eoinophils|i pospatase bld plsm
platelet cont blood|platelet count blood|glucose blood
bld antibody anti-mitochondrial|mitochon anti-mitochondrial bld antibody|blood gastrin
yeast hyphenated urine|hyphenated yeast urine|albumin/creatinine, urine urine
acanthocytes blood|acanthocytes blood|fluid other body cd41
urinerine chemistry albuin,|albumin, urine urine|protein c, functional blood
urine at fre|free fat urine|sickle preparation ordinal cell blood
cd7 bloo|blood cd7|leukcytes urine
xiii factor blood|factr xiii blood|urine urine osmolality, urn
cholesterol, ascites ascites|cholesterol, ascites ascites|hemoglobin blood c point in time
bone hla-dr marrow|ha-dr bonemarrow|folate blood
urine urine calcium,|calcum, urin urie|bilirubin crystals urine
ammoium biurate urne|ammonium biurae urine|sulfonamies urine
cd4/cd8 body other ratio fluid|cd4/cd8 fluid other body ratio|sphrocytes bloo spherocyte
oxgen blood|oxygen blood|bloo phosphatase alkalie alkaline phosphatase.total
urine urine color|coor urine urine|bone cd64 marrow
barbiturate screen, urine urine|urine screen, urine barbiturate|cd19 bonemarrow
urine bilirubin|bilirubin urine|troponin t blood
body other promyelocytes fluid|promylocytes point in time other body fluid|pep, fluid cerebrospinal cerebrospinal fluid (cerebrospinal fluid)
blood cen centromere|blood fa centromere|lymphocytes percenblod
phosphatase alkaline blood|alkaline bod phosphatase|olestrol, lood hl
prot. electrophoresis, urine urine|prot. electrophoresis, urine urine|casts wbc urine
myelocytes blood|blood myelocytes hematology/cell counts|blood eosinophils
cd15 othr body fluid|cd15 body other fluid|thoracentesis fluid amylase, pleural pleural
cd33 body othe fld|cd33 ther bod fluid|tyrosne urine crytas
blood eosinophils|bld eosinophil cnt|hepatitis b virus enzyme immunoassay core antibody blood
basophlascites|scites basophis|oxgen blood
ody other cd22 fluid|cd22 other fluid body|reticulocyte retic absolute count, blood
chloride, pleural pleural|pleural chloride, pleural|ammonia blod level
bone cd45 marrow|cd5 marrow bone|t troponin bld
total protn fluid fluid qnt oher bod body|body protein, total fluid other body fluid|clcium hosphate crysta urine
urine urine cocaine,|cocaine, urine urine|porphobilinogen screen urine
hyaline urine casts|hyaline casts urine|glucose, urine urine
bilirubin, indirect blood|quan blood indirect bilirubin,|atypical lymphocytes pleural
urine blood|blood urine|polys granulocyte pleural
blood cd23|cd23 blood|other cd19 body fluid
pulmonology pleural pleural amylase,|mylase,pleural pleural|cd13 marrow bone
excess chemistry base blood|base excess blood|polys pleural
bands cerebrsal (csf) fuid|(csf) cerebrospinal fluid bands|hypersegmented bld neutrophils neuts hyperseg
cd3 ther body fluid|other cd3 body fluid|2-hydroxy-propionic acid lactate dehydrogenase (ld) blood
blood nitrogen urea|urea nitrogen blood|epithelial transitional cells urine
hyroid peroxidase antiboiesbod|thyroid blood antibodies peroxidase|lymphoctes, blood percet
chloride blood|chloride blood|young cells blood
oxygen saturation quantitative blood|oxygen saturation quant blood|cd3 bone marrow
blood ix factor|factor ix blood|blasts blood
pept ntprobnp blood|ntprobnp blood|urine rbc
bands cerebrospinal fluid (csf)|(csf) cerebrospinal fluid bands|prot. electrophoresis, urine urine
blood cd56|blood cd56|eukocyte phosphatae alkaline blood
calcium crystals carbonate urine|crysals caboate calcium urine|calculated cco2 total co2 blood
protein s, blood functioal|protein s, blood nctiol|mesothelial cells fluid cerebrospinal (csf)
random ascites lipase, ascites|lipase ascits ascites ipase,|cyclosporin blood
c8 oer body fluid|other cd8 bodyfuid|screen saliylate bld
blood fa centromere|centromere blood|blood bodies pappenheimer
calculated cco2 total co2 blood|clculated tota co2 blood|non-squamous cells epithelial urine
blood bands|blood ct bands|lymphocyes oter ody fluid
other cd22 body fluid|cd22 other fluid body|trig pleralpleual trigycerides,
urine methadone, urine|urine urine pr methadone,|wbc urine
glucose, urine urine|random glucose, urine urie|blod c, funcional rotein
glucose, glucoseur joint fluid joint fluid|glucose, joint fluid joint joint flu fluid|fragilityblood osmotic
renal prot. electrophoresis, urine urine|prot. electrophoresis, urine urine|bacteria urine
urine urie phsphate,|phosphate, urine urine level|rbccasts urine
phosphate, body fluid other body fluid|phosphate, body fluid other body fluid|macroovalocytes bld
acidblood valproi|lod aid valproic|polychromasia bld
lymphs (cerebrospinal fluid) fluid cerebrospinal wbc|lymphs cerebrospinal fluid (csf)|urine urine osmolality, urn
carciebyronc antigen (cea) antigens blod|arcinoemyroic antigen (cea) blood|porphobilinogen qualitative screen urine
urine learane cretine|creatinine clearance urine|blood d-dimer
oxygen saturation quantitative blood|oxygen saturation lod|white cells blood wb blood
phospte, ody fu oter boy fluid|phosphate, body fluid other body fluid|sodium, asitesascites
plasma other body plasmacytes fluid|plasma other body fluid|mchc blood
bood acanthocytes ql|acanthocytes blood whole blood|blood centromere
phospte, ody fu oter boy fluid|phosphate, body fluid other body fluid|anti-nuclear blood point in time antibody
amonum birate urne|ammoium biurate urne|ammonia blod level
luteinizing blood hormone|hormone luteinizing blood|follile stimulaing sr blood hormon
red cells blood whole blood blood|red blood cells blood|blood ovalocytes
burr cellularity cells bood|burr cells bld|blood cd38
blood free phenytoin,|phenytoin, fre blod|fluidoter body osmolality, bod fluid
bands blood|blood bands|ha-dr bonemarrow
polys other body fluid|polys other body fluid|ani-thyroglobulin sr bood antibodies
sodium, bdy fluid other body flui|sodium, body fluid other body fluid|ob bld estadiol
blood measured osmolality,|osmolality, universallaborders blood measured|quan mchc blood
plera lbumin, pleural|albumin, pt pleural pleural|cd6/6 marrow bne
body other cd45 fluid|other cd45 body fluid|white bld count bld cells
axy casts urine|casts waxy urine|creatinine clearance urine
sphrocytes bloo spherocyte|microscopic sphercyte bood|mylase,pleural pleural
other fl ph body fluid|ph other body fluid|blood eosinophils
blood centromere|blood cen centromere|cd56 blood
eosinophil blood count hematology/cell counts|eosinophil count blood|cholesterol, body fluid other body fluid
renal epithelial cells urine|renal epihlialclls rine|lyco abood
creatinine, pleural pleural|reatiine, pleural leural|boy other la-dr fluid
cd41 bone marrow|marrow c41bone|bld cyclosporin random
urine crystals, urine other|urine crystals, other rine|bas othr body fluid
ammonia blood|ammonia level blood|fmc-7 fluid body other
urine bilirubin|blirubinurine|transitional epithelial cells urine
calculated cco2 total co2 blood|alculated total co2 blood|spherocytes blood
bilirubin, total, body fluid other body fluid|bilirubin, total, body fluid other fluid body|cells, cd8 percent blood
glucose, joint fluid joint joint flu fluid|glucoe, joint fluid gluc oint fuid|blood ix factor
follice hormonelood stmulatin|plasma follicle stimulating horone lood|protein blood antigen s,
cd23 bone marrow|cd3 bone marro|lymphocytesjoint fluid leukocyte
hematocrit blood|blood hematocrit|cholesterol, body fluid other body fluid
blood fa centromere|blood cen centromere|total pleural thoracentesis fluid pleural protein,
ld, bodies body fluid other body fluid|ld, body fluid, unsp ody fluid other bo fluid|absolute count cd8 blood
bleeding time blood|bleedig tie lod|lymphocytes ascies
tal proei, oint fluid oint fluid|total protein, joint fluid joint fluid|wbc, csf cerebrospinal fluid (csf)
blood cd19|blood cd19|cd4 marrow bone
alb albumin blood|bld serum or plasma albumin|anti-thyroglobulin antibodies bld
bld parasite smear bld identity or presence|wb smear araite bld bld|hla-dr other body fluid
immunofixation, urine urine|immunofixation, chemistry urine rine|urine urine pr methadone,
ati-parietal ll antibodyblood|ni-parietal blood antibody cell aby|percent cells, cd8 blood
